displacement_mm,force_N
0.000000,1.551319
0.002101,5.208047
0.004202,8.967239
0.006303,15.367705
0.008403,18.296221
0.010504,22.043155
0.012605,26.290931
0.014706,27.259715
0.016807,34.014611
0.018908,38.760064
0.021008,44.154579
0.023109,50.004571
0.025210,55.892340
0.027311,57.504108
0.029412,63.753234
0.031513,70.082680
0.033613,69.748433
0.035714,73.469006
0.037815,74.649991
0.039916,85.935984
0.042017,88.522688
0.044118,90.130289
0.046218,94.983838
0.048319,103.396896
0.050420,100.851680
0.052521,108.158619
0.054622,118.699226
0.056723,117.101047
0.058824,118.328676
0.060924,127.104922
0.063025,128.402932
0.065126,138.785574
0.067227,142.280608
0.069328,142.136041
0.071429,148.800842
0.073529,154.805633
0.075630,157.941622
0.077731,166.962193
0.079832,166.063168
0.081933,168.427455
0.084034,172.971580
0.086134,181.266987
0.088235,181.222643
0.090336,190.096735
0.092437,195.305401
0.094538,194.929969
0.096639,199.950747
0.098739,204.300876
0.100840,207.496220
0.102941,212.767752
0.105042,217.174543
0.107143,221.846954
0.109244,233.279372
0.111345,235.360409
0.113445,237.581330
0.115546,240.529369
0.117647,245.653584
0.119748,248.966767
0.121849,254.648162
0.123950,256.741552
0.126050,262.703838
0.128151,264.769674
0.130252,274.056010
0.132353,274.740337
0.134454,279.173891
0.136555,282.044887
0.138655,286.567257
0.140756,290.002194
0.142857,296.415390
0.144958,301.740175
0.147059,305.946891
0.149160,311.071522
0.151261,315.946968
0.153361,317.840894
0.155462,318.654252
0.157563,326.464042
0.159664,330.833141
0.161765,342.764648
0.163866,342.976279
0.165966,346.666641
0.168067,346.818056
0.170168,355.046585
0.172269,357.393135
0.174370,364.649980
0.176471,363.841298
0.178571,369.836630
0.180672,375.209834
0.182773,383.821484
0.184874,386.160786
0.186975,391.001742
0.189076,396.273018
0.191176,402.230668
0.193277,402.719794
0.195378,406.664226
0.197479,411.633933
0.199580,414.024566
0.201681,420.632655
0.203782,426.150706
0.205882,427.888000
0.207983,431.540034
0.210084,437.390941
0.212185,441.386454
0.214286,444.185220
0.216387,448.077097
0.218487,449.305189
0.220588,457.896933
0.222689,467.942507
0.224790,467.082965
0.226891,471.635141
0.228992,479.902801
0.231092,478.867679
0.233193,481.620317
0.235294,491.919834
0.237395,493.840132
0.239496,496.889131
0.241597,500.255085
0.243697,507.148950
0.245798,513.350232
0.247899,516.614720
0.250000,519.190190
