displacement_mm,force_N
0.000000,-2.254608
0.001515,83.304907
0.003030,150.955807
0.004545,243.810510
0.006061,317.090471
0.007576,413.781276
0.009091,469.484111
0.010606,546.437194
0.012121,640.133175
0.013636,717.148503
0.015152,795.576037
0.016667,886.192616
0.018182,956.040114
0.019697,1047.447415
0.021212,1113.338702
0.022727,1207.017252
0.024242,1274.290883
0.025758,1353.622577
0.027273,1437.156708
0.028788,1507.882395
0.030303,1576.323461
0.031818,1674.137690
0.033333,1749.107868
0.034848,1835.501309
0.036364,1924.652110
0.037879,1994.047944
0.039394,2068.278400
0.040909,2151.391426
0.042424,2224.331720
0.043939,2308.686003
0.045455,2394.212961
0.046970,2489.075804
0.048485,2547.845596
0.050000,2627.292174
0.051515,2690.908083
0.053030,2790.914897
0.054545,2877.822826
0.056061,2955.127612
0.057576,3016.548102
0.059091,3103.016249
0.060606,3171.706880
0.062121,3267.374378
0.063636,3349.004572
0.065152,3411.228076
0.066667,3505.374176
0.068182,3580.656782
0.069697,3653.337358
0.071212,3737.389490
0.072727,3833.715887
0.074242,3888.874342
0.075758,3978.449006
0.077273,4057.001305
0.078788,4145.915150
0.080303,4204.592229
0.081818,4289.299702
0.083333,4370.921671
0.084848,4445.423393
0.086364,4535.225675
0.087879,4621.863974
0.089394,4688.222813
0.090909,4765.580107
0.092424,4847.114128
0.093939,4935.208316
0.095455,5008.169771
0.096970,5085.485417
0.098485,5156.727867
0.100000,5243.546552
0.101515,5317.786363
0.103030,5411.505553
0.104545,5484.748634
0.106061,5564.096604
0.107576,5656.755787
0.109091,5715.134044
0.110606,5823.824108
0.112121,5903.282802
0.113636,5969.131922
0.115152,6036.347876
0.116667,6125.685351
0.118182,6195.525871
0.119697,6277.469319
0.121212,6366.322394
0.122727,6442.888554
0.124242,6518.305175
0.125758,6597.892876
0.127273,6679.386120
0.128788,6760.631824
0.130303,6829.540048
0.131818,6908.002790
0.133333,6998.994590
0.134848,7063.275595
0.136364,7161.108017
0.137879,7240.020843
0.139394,7314.429365
0.140909,7401.275684
0.142424,7492.005564
0.143939,7559.523936
0.145455,7619.553950
0.146970,7721.407091
0.148485,7783.939357
0.150000,7875.696073
