displacement_mm,force_N
0.000000,-0.620100
0.001266,121.944344
0.002532,235.415904
0.003797,327.275859
0.005063,442.278881
0.006329,557.058152
0.007595,698.454036
0.008861,806.122014
0.010127,916.399290
0.011392,1020.213255
0.012658,1143.194969
0.013924,1255.784698
0.015190,1381.521550
0.016456,1471.743076
0.017722,1620.988537
0.018987,1717.188530
0.020253,1827.834262
0.021519,1952.809926
0.022785,2052.273732
0.024051,2145.406401
0.025316,2295.145736
0.026582,2377.856653
0.027848,2511.979016
0.029114,2620.037255
0.030380,2727.011871
0.031646,2867.460140
0.032911,2948.332574
0.034177,3080.005970
0.035443,3213.943831
0.036709,3284.776575
0.037975,3421.990810
0.039241,3520.585178
0.040506,3643.374295
0.041772,3752.192611
0.043038,3871.295801
0.044304,4018.242329
0.045570,4098.397985
0.046835,4209.373677
0.048101,4320.067533
0.049367,4431.903234
0.050633,4546.162832
0.051899,4671.762453
0.053165,4786.827172
0.054430,4884.769521
0.055696,5011.656673
0.056962,5115.054647
0.058228,5232.556810
0.059494,5354.557252
0.060759,5476.520109
0.062025,5588.634761
0.063291,5698.307488
0.064557,5806.006692
0.065823,5941.271485
0.067089,6041.549930
0.068354,6152.894429
0.069620,6265.824786
0.070886,6405.015823
0.072152,6511.107857
0.073418,6605.413284
0.074684,6712.010072
0.075949,6823.872709
0.077215,6945.687391
0.078481,7058.235468
0.079747,7174.064409
0.081013,7280.019761
0.082278,7405.962554
0.083544,7517.706960
0.084810,7635.322696
0.086076,7746.856649
0.087342,7858.585394
0.088608,7971.924698
0.089873,8094.451550
0.091139,8184.129056
0.092405,8309.696836
0.093671,8429.609940
0.094937,8555.186077
0.096203,8644.840096
0.097468,8769.977258
0.098734,8888.168495
0.100000,9010.989867
