displacement_mm,force_N
0.000000,-23.627797
0.001263,195.963428
0.002525,383.870514
0.003788,560.745883
0.005051,761.693183
0.006313,930.536303
0.007576,1129.850860
0.008838,1325.319229
0.010101,1520.392334
0.011364,1701.465085
0.012626,1902.207177
0.013889,2079.135921
0.015152,2269.844962
0.016414,2460.972367
0.017677,2650.222340
0.018939,2843.539801
0.020202,3033.363358
0.021465,3226.569622
0.022727,3408.532036
0.023990,3603.574420
0.025253,3773.688789
0.026515,3973.947972
0.027778,4174.824435
0.029040,4365.192721
0.030303,4548.975411
0.031566,4707.156910
0.032828,4943.443241
0.034091,5116.045987
0.035354,5291.680598
0.036616,5485.600549
0.037879,5668.128153
0.039141,5882.483622
0.040404,6057.384131
0.041667,6216.138859
0.042929,6431.301072
0.044192,6617.646034
0.045455,6809.568666
0.046717,7004.077852
0.047980,7190.568799
0.049242,7399.917999
0.050505,7602.381759
0.051768,7772.054607
0.053030,7947.279754
0.054293,8156.580115
0.055556,8318.028686
0.056818,8524.375344
0.058081,8712.492701
0.059343,8896.008899
0.060606,9089.980188
0.061869,9296.307285
0.063131,9502.983377
0.064394,9650.708608
0.065657,9839.410229
0.066919,10047.931382
0.068182,10210.209956
0.069444,10406.463687
0.070707,10590.552880
0.071970,10796.506446
0.073232,11006.365653
0.074495,11170.073307
0.075758,11358.802447
0.077020,11553.389541
0.078283,11751.318711
0.079545,11936.569358
0.080808,12133.651412
0.082071,12297.574208
0.083333,12500.832429
0.084596,12668.826848
0.085859,12875.807779
0.087121,13095.683772
0.088384,13266.922764
0.089646,13452.965887
0.090909,13644.704374
0.092172,13846.648096
0.093434,14005.721995
0.094697,14182.099450
0.095960,14415.192254
0.097222,14565.171259
0.098485,14763.731257
0.099747,14972.650597
0.101010,15133.981742
0.102273,15323.749617
0.103535,15530.330613
0.104798,15721.269944
0.106061,15927.987886
0.107323,16114.765170
0.108586,16278.525754
0.109848,16502.401242
0.111111,16679.906265
0.112374,16856.403031
0.113636,17030.182047
0.114899,17211.820803
0.116162,17438.057920
0.117424,17624.894551
0.118687,17780.859584
0.119949,17973.086815
0.121212,18170.249184
0.122475,18355.989650
0.123737,18553.996218
0.125000,18743.548363
