displacement_mm,force_N
0.000000,-5.642140
0.012563,1875.568890
0.025126,3740.482557
0.037688,5635.886266
0.050251,7562.457940
0.062814,9401.304478
0.075377,9464.174160
0.087940,9476.516746
0.100503,9511.868591
0.113065,9573.426830
0.125628,9614.990752
0.138191,9662.452792
0.150754,9694.786940
0.163317,9729.985909
0.175879,9777.497612
0.188442,9886.487236
0.201005,9910.546689
0.213568,9916.082862
0.226131,9995.186711
0.238693,10041.940028
0.251256,10089.453340
0.263819,10133.118076
0.276382,10175.630504
0.288945,10198.149930
0.301508,10290.181085
0.314070,10292.944972
0.326633,10358.346573
0.339196,10442.261445
0.351759,10460.384929
0.364322,10500.182721
0.376884,10516.143317
0.389447,10589.737268
0.402010,10627.523553
0.414573,10716.524063
0.427136,10717.523863
0.439698,10813.502807
0.452261,10833.838328
0.464824,10897.051062
0.477387,10947.923465
0.489950,10990.440438
0.502513,11058.397664
0.515075,11053.203568
0.527638,11087.508634
0.540201,11183.580614
0.552764,11197.240596
0.565327,11241.335700
0.577889,11278.276892
0.590452,11354.170470
0.603015,11374.259507
0.615578,11469.975208
0.628141,11487.755511
0.640704,11537.227940
0.653266,11560.222622
0.665829,11635.929457
0.678392,11644.910230
0.690955,11736.252234
0.703518,11788.585809
0.716080,11836.653106
0.728643,11862.939995
0.741206,11916.441400
0.753769,11963.180442
0.766332,12001.247525
0.778894,12010.054746
0.791457,12114.429608
0.804020,12159.208624
0.816583,12219.255929
0.829146,12278.816974
0.841709,12291.274431
0.854271,12364.779997
0.866834,12365.584848
0.879397,12432.057787
0.891960,12500.936156
0.904523,12515.414445
0.917085,12595.671698
0.929648,12674.809833
0.942211,12670.206564
0.954774,12703.063856
0.967337,12792.154556
0.979899,12822.560084
0.992462,12877.956143
1.005025,12872.799829
1.017588,12951.230918
1.030151,12985.593837
1.042714,13056.616796
1.055276,13134.975858
1.067839,13160.882693
1.080402,13206.195813
1.092965,13250.123714
1.105528,13290.181299
1.118090,13351.139612
1.130653,13380.043416
1.143216,13417.945486
1.155779,13472.862634
1.168342,13497.106529
1.180905,13574.793694
1.193467,13614.801259
1.206030,13680.906618
1.218593,13729.033210
1.231156,13762.865078
1.243719,13815.125869
1.256281,13862.052602
1.268844,13869.384009
1.281407,13936.144939
1.293970,14004.547476
1.306533,14036.528628
1.319095,14133.272917
1.331658,14136.847610
1.344221,14215.854079
1.356784,14260.361442
1.369347,14247.164175
1.381910,14328.840913
1.394472,14388.089270
1.407035,14432.643868
1.419598,14474.602637
1.432161,14517.563060
1.444724,14510.256964
1.457286,14567.922167
1.469849,14627.910775
1.482412,14723.273881
1.494975,14716.799716
1.507538,14817.369706
1.520101,14840.279808
1.532663,14873.659447
1.545226,14899.595802
1.557789,14984.077013
1.570352,15030.470887
1.582915,15079.660333
1.595477,15133.771464
1.608040,15162.187001
1.620603,15216.805782
1.633166,15267.394318
1.645729,15337.617697
1.658291,15365.541320
1.670854,15421.766465
1.683417,15445.918864
1.695980,15468.449379
1.708543,15533.590192
1.721106,15600.856395
1.733668,15652.263997
1.746231,15699.713529
1.758794,15727.288638
1.771357,15750.510316
1.783920,15821.637862
1.796482,15879.112641
1.809045,15945.405802
1.821608,15968.814744
1.834171,16010.607088
1.846734,16072.912300
1.859296,16160.667328
1.871859,16158.665924
1.884422,16190.982290
1.896985,16249.096858
1.909548,16287.073704
1.922111,16345.744884
1.934673,16423.660412
1.947236,16430.916075
1.959799,16478.660662
1.972362,16542.138993
1.984925,16577.858919
1.997487,16642.984503
2.010050,16699.536577
2.022613,16730.923128
2.035176,16791.628715
2.047739,16783.947491
2.060302,16855.237011
2.072864,16921.717949
2.085427,16971.948839
2.097990,16990.892360
2.110553,17052.647149
2.123116,17084.449994
2.135678,17112.771699
2.148241,17197.148975
2.160804,17257.282614
2.173367,17278.061618
2.185930,17351.549015
2.198492,17407.902217
2.211055,17469.982360
2.223618,17493.725223
2.236181,17526.287885
2.248744,17565.875880
2.261307,17681.010937
2.273869,17715.312988
2.286432,17700.596191
2.298995,17717.102559
2.311558,17788.212599
2.324121,17832.575697
2.336683,17911.262189
2.349246,17967.771745
2.361809,17972.885259
2.374372,18082.885786
2.386935,18085.453604
2.399497,18180.156614
2.412060,18147.326378
2.424623,18217.875693
2.437186,18283.151071
2.449749,18321.177242
2.462312,18367.442654
2.474874,18431.374123
2.487437,18459.681902
2.500000,18490.879440
