Time(s),Force(N)
0.000000,0.0000
0.000100,62.2902
0.000200,123.3439
0.000300,182.9377
0.000400,240.8578
0.000500,296.9003
0.000600,350.8719
0.000700,402.5910
0.000800,451.8874
0.000900,498.6034
0.001000,542.5942
0.001100,583.7280
0.001200,621.8864
0.001300,656.9650
0.001400,688.8729
0.001500,717.5337
0.001600,742.8848
0.001700,764.8778
0.001800,783.4787
0.001900,798.6671
0.002000,810.4369
0.002100,818.7955
0.002200,823.7638
0.002300,825.3757
0.002400,823.6783
0.002500,818.7308
0.002600,810.6043
0.002700,799.3818
0.002800,785.1571
0.002900,768.0343
0.003000,748.1276
0.003100,725.5603
0.003200,700.4646
0.003300,672.9803
0.003400,643.2548
0.003500,611.4419
0.003600,577.7012
0.003700,542.1977
0.003800,505.1005
0.003900,466.5826
0.004000,426.8197
0.004100,385.9898
0.004200,344.2723
0.004300,301.8473
0.004400,258.8947
0.004500,215.5938
0.004600,172.1225
0.004700,128.6564
0.004800,85.3684
0.004900,42.4278
0.005000,0.0000
0.005100,-41.7544
0.005200,-82.6799
0.005300,-122.6268
0.005400,-161.4518
0.005500,-199.0182
0.005600,-235.1965
0.005700,-269.8648
0.005800,-302.9092
0.005900,-334.2238
0.006000,-363.7118
0.006100,-391.2845
0.006200,-416.8629
0.006300,-440.3768
0.006400,-461.7653
0.006500,-480.9772
0.006600,-497.9706
0.006700,-512.7129
0.006800,-525.1815
0.006900,-535.3626
0.007000,-543.2521
0.007100,-548.8550
0.007200,-552.1854
0.007300,-553.2659
0.007400,-552.1281
0.007500,-548.8116
0.007600,-543.3643
0.007700,-535.8417
0.007800,-526.3065
0.007900,-514.8288
0.008000,-501.4849
0.008100,-486.3576
0.008200,-469.5355
0.008300,-451.1122
0.008400,-431.1866
0.008500,-409.8618
0.008600,-387.2447
0.008700,-363.4460
0.008800,-338.5790
0.008900,-312.7597
0.009000,-286.1058
0.009100,-258.7367
0.009200,-230.7726
0.009300,-202.3343
0.009400,-173.5423
0.009500,-144.5169
0.009600,-115.3772
0.009700,-86.2410
0.009800,-57.2242
0.009900,-28.4402
0.010000,-0.0000
0.010100,27.9888
0.010200,55.4220
0.010300,82.1992
0.010400,108.2244
0.010500,133.4059
0.010600,157.6569
0.010700,180.8958
0.010800,203.0461
0.010900,224.0369
0.011000,243.8033
0.011100,262.2859
0.011200,279.4316
0.011300,295.1934
0.011400,309.5306
0.011500,322.4087
0.011600,333.7996
0.011700,343.6818
0.011800,352.0397
0.011900,358.8643
0.012000,364.1528
0.012100,367.9085
0.012200,370.1409
0.012300,370.8652
0.012400,370.1025
0.012500,367.8794
0.012600,364.2280
0.012700,359.1854
0.012800,352.7938
0.012900,345.1000
0.013000,336.1554
0.013100,326.0153
0.013200,314.7390
0.013300,302.3896
0.013400,289.0330
0.013500,274.7386
0.013600,259.5779
0.013700,243.6251
0.013800,226.9563
0.013900,209.6491
0.014000,191.7825
0.014100,173.4364
0.014200,154.6915
0.014300,135.6287
0.014400,116.3289
0.014500,96.8726
0.014600,77.3396
0.014700,57.8091
0.014800,38.3585
0.014900,19.0640
0.015000,0.0000
0.015100,-18.7614
0.015200,-37.1505
0.015300,-55.0998
0.015400,-72.5450
0.015500,-89.4246
0.015600,-105.6806
0.015700,-121.2581
0.015800,-136.1059
0.015900,-150.1765
0.016000,-163.4262
0.016100,-175.8155
0.016200,-187.3086
0.016300,-197.8740
0.016400,-207.4845
0.016500,-216.1170
0.016600,-223.7526
0.016700,-230.3768
0.016800,-235.9792
0.016900,-240.5539
0.017000,-244.0989
0.017100,-246.6165
0.017200,-248.1129
0.017300,-248.5984
0.017400,-248.0871
0.017500,-246.5970
0.017600,-244.1493
0.017700,-240.7692
0.017800,-236.4848
0.017900,-231.3275
0.018000,-225.3317
0.018100,-218.5346
0.018200,-210.9759
0.018300,-202.6978
0.018400,-193.7446
0.018500,-184.1628
0.018600,-174.0003
0.018700,-163.3068
0.018800,-152.1334
0.018900,-140.5320
0.019000,-128.5556
0.019100,-116.2579
0.019200,-103.6928
0.019300,-90.9146
0.019400,-77.9776
0.019500,-64.9356
0.019600,-51.8423
0.019700,-38.7506
0.019800,-25.7125
0.019900,-12.7790
0.020000,-0.0000
