Time(s),Force(N)
0.000000,0.0000
0.000100,12.3117
0.000200,48.9435
0.000300,108.9935
0.000400,190.9830
0.000500,292.8932
0.000600,412.2147
0.000700,546.0095
0.000800,690.9830
0.000900,843.5655
0.001000,1000.0000
0.001100,1156.4345
0.001200,1309.0170
0.001300,1453.9905
0.001400,1587.7853
0.001500,1707.1068
0.001600,1809.0170
0.001700,1891.0065
0.001800,1951.0565
0.001900,1987.6883
0.002000,2000.0000
0.002100,1987.6883
0.002200,1951.0565
0.002300,1891.0065
0.002400,1809.0170
0.002500,1707.1068
0.002600,1587.7853
0.002700,1453.9905
0.002800,1309.0170
0.002900,1156.4345
0.003000,1000.0000
0.003100,843.5655
0.003200,690.9830
0.003300,546.0095
0.003400,412.2147
0.003500,292.8932
0.003600,190.9830
0.003700,108.9935
0.003800,48.9435
0.003900,12.3117
0.004000,0.0000
0.004100,0.0000
0.004200,0.0000
0.004300,0.0000
0.004400,0.0000
0.004500,0.0000
0.004600,0.0000
0.004700,0.0000
0.004800,0.0000
0.004900,0.0000
0.005000,0.0000
0.005100,0.0000
0.005200,0.0000
0.005300,0.0000
0.005400,0.0000
0.005500,0.0000
0.005600,0.0000
0.005700,0.0000
0.005800,0.0000
0.005900,0.0000
0.006000,0.0000
0.006100,0.0000
0.006200,0.0000
0.006300,0.0000
0.006400,0.0000
0.006500,0.0000
0.006600,0.0000
0.006700,0.0000
0.006800,0.0000
0.006900,0.0000
0.007000,0.0000
0.007100,0.0000
0.007200,0.0000
0.007300,0.0000
0.007400,0.0000
0.007500,0.0000
0.007600,0.0000
0.007700,0.0000
0.007800,0.0000
0.007900,0.0000
0.008000,0.0000
0.008100,0.0000
0.008200,0.0000
0.008300,0.0000
0.008400,0.0000
0.008500,0.0000
0.008600,0.0000
0.008700,0.0000
0.008800,0.0000
0.008900,0.0000
0.009000,0.0000
0.009100,0.0000
0.009200,0.0000
0.009300,0.0000
0.009400,0.0000
0.009500,0.0000
0.009600,0.0000
0.009700,0.0000
0.009800,0.0000
0.009900,0.0000
0.010000,0.0000
0.010100,0.0000
0.010200,0.0000
0.010300,0.0000
0.010400,0.0000
0.010500,0.0000
0.010600,0.0000
0.010700,0.0000
0.010800,0.0000
0.010900,0.0000
0.011000,0.0000
0.011100,0.0000
0.011200,0.0000
0.011300,0.0000
0.011400,0.0000
0.011500,0.0000
0.011600,0.0000
0.011700,0.0000
0.011800,0.0000
0.011900,0.0000
0.012000,0.0000
0.012100,0.0000
0.012200,0.0000
0.012300,0.0000
0.012400,0.0000
0.012500,0.0000
0.012600,0.0000
0.012700,0.0000
0.012800,0.0000
0.012900,0.0000
0.013000,0.0000
0.013100,0.0000
0.013200,0.0000
0.013300,0.0000
0.013400,0.0000
0.013500,0.0000
0.013600,0.0000
0.013700,0.0000
0.013800,0.0000
0.013900,0.0000
0.014000,0.0000
0.014100,0.0000
0.014200,0.0000
0.014300,0.0000
0.014400,0.0000
0.014500,0.0000
0.014600,0.0000
0.014700,0.0000
0.014800,0.0000
0.014900,0.0000
0.015000,0.0000
0.015100,0.0000
0.015200,0.0000
0.015300,0.0000
0.015400,0.0000
0.015500,0.0000
0.015600,0.0000
0.015700,0.0000
0.015800,0.0000
0.015900,0.0000
0.016000,0.0000
0.016100,0.0000
0.016200,0.0000
0.016300,0.0000
0.016400,0.0000
0.016500,0.0000
0.016600,0.0000
0.016700,0.0000
0.016800,0.0000
0.016900,0.0000
0.017000,0.0000
0.017100,0.0000
0.017200,0.0000
0.017300,0.0000
0.017400,0.0000
0.017500,0.0000
0.017600,0.0000
0.017700,0.0000
0.017800,0.0000
0.017900,0.0000
0.018000,0.0000
0.018100,0.0000
0.018200,0.0000
0.018300,0.0000
0.018400,0.0000
0.018500,0.0000
0.018600,0.0000
0.018700,0.0000
0.018800,0.0000
0.018900,0.0000
0.019000,0.0000
0.019100,0.0000
0.019200,0.0000
0.019300,0.0000
0.019400,0.0000
0.019500,0.0000
0.019600,0.0000
0.019700,0.0000
0.019800,0.0000
0.019900,0.0000
0.020000,0.0000
