Time(s),Force(N)
0.000000,0.0000
0.000100,31.3953
0.000200,62.6666
0.000300,93.6907
0.000400,124.3449
0.000500,154.5085
0.000600,184.0623
0.000700,212.8896
0.000800,240.8768
0.000900,267.9134
0.001000,293.8926
0.001100,318.7120
0.001200,342.2736
0.001300,364.4843
0.001400,385.2566
0.001500,404.5085
0.001600,422.1640
0.001700,438.1533
0.001800,452.4135
0.001900,464.8882
0.002000,475.5283
0.002100,484.2916
0.002200,491.1436
0.002300,496.0574
0.002400,499.0134
0.002500,500.0000
0.002600,499.0134
0.002700,496.0574
0.002800,491.1436
0.002900,484.2916
0.003000,475.5283
0.003100,464.8882
0.003200,452.4135
0.003300,438.1533
0.003400,422.1640
0.003500,404.5085
0.003600,385.2566
0.003700,364.4843
0.003800,342.2736
0.003900,318.7120
0.004000,293.8926
0.004100,267.9134
0.004200,240.8768
0.004300,212.8896
0.004400,184.0623
0.004500,154.5085
0.004600,124.3449
0.004700,93.6907
0.004800,62.6666
0.004900,31.3953
0.005000,0.0000
0.005100,-31.3953
0.005200,-62.6666
0.005300,-93.6907
0.005400,-124.3449
0.005500,-154.5085
0.005600,-184.0623
0.005700,-212.8896
0.005800,-240.8768
0.005900,-267.9134
0.006000,-293.8926
0.006100,-318.7120
0.006200,-342.2736
0.006300,-364.4843
0.006400,-385.2566
0.006500,-404.5085
0.006600,-422.1640
0.006700,-438.1533
0.006800,-452.4135
0.006900,-464.8882
0.007000,-475.5283
0.007100,-484.2916
0.007200,-491.1436
0.007300,-496.0574
0.007400,-499.0134
0.007500,-500.0000
0.007600,-499.0134
0.007700,-496.0574
0.007800,-491.1436
0.007900,-484.2916
0.008000,-475.5283
0.008100,-464.8882
0.008200,-452.4135
0.008300,-438.1533
0.008400,-422.1640
0.008500,-404.5085
0.008600,-385.2566
0.008700,-364.4843
0.008800,-342.2736
0.008900,-318.7120
0.009000,-293.8926
0.009100,-267.9134
0.009200,-240.8768
0.009300,-212.8896
0.009400,-184.0623
0.009500,-154.5085
0.009600,-124.3449
0.009700,-93.6907
0.009800,-62.6666
0.009900,-31.3953
0.010000,-0.0000
0.010100,31.3953
0.010200,62.6666
0.010300,93.6907
0.010400,124.3449
0.010500,154.5085
0.010600,184.0623
0.010700,212.8896
0.010800,240.8768
0.010900,267.9134
0.011000,293.8926
0.011100,318.7120
0.011200,342.2736
0.011300,364.4843
0.011400,385.2566
0.011500,404.5085
0.011600,422.1640
0.011700,438.1533
0.011800,452.4135
0.011900,464.8882
0.012000,475.5283
0.012100,484.2916
0.012200,491.1436
0.012300,496.0574
0.012400,499.0134
0.012500,500.0000
0.012600,499.0134
0.012700,496.0574
0.012800,491.1436
0.012900,484.2916
0.013000,475.5283
0.013100,464.8882
0.013200,452.4135
0.013300,438.1533
0.013400,422.1640
0.013500,404.5085
0.013600,385.2566
0.013700,364.4843
0.013800,342.2736
0.013900,318.7120
0.014000,293.8926
0.014100,267.9134
0.014200,240.8768
0.014300,212.8896
0.014400,184.0623
0.014500,154.5085
0.014600,124.3449
0.014700,93.6907
0.014800,62.6666
0.014900,31.3953
0.015000,0.0000
0.015100,-31.3953
0.015200,-62.6666
0.015300,-93.6907
0.015400,-124.3449
0.015500,-154.5085
0.015600,-184.0623
0.015700,-212.8896
0.015800,-240.8768
0.015900,-267.9134
0.016000,-293.8926
0.016100,-318.7120
0.016200,-342.2736
0.016300,-364.4843
0.016400,-385.2566
0.016500,-404.5085
0.016600,-422.1640
0.016700,-438.1533
0.016800,-452.4135
0.016900,-464.8882
0.017000,-475.5283
0.017100,-484.2916
0.017200,-491.1436
0.017300,-496.0574
0.017400,-499.0134
0.017500,-500.0000
0.017600,-499.0134
0.017700,-496.0574
0.017800,-491.1436
0.017900,-484.2916
0.018000,-475.5283
0.018100,-464.8882
0.018200,-452.4135
0.018300,-438.1533
0.018400,-422.1640
0.018500,-404.5085
0.018600,-385.2566
0.018700,-364.4843
0.018800,-342.2736
0.018900,-318.7120
0.019000,-293.8926
0.019100,-267.9134
0.019200,-240.8768
0.019300,-212.8896
0.019400,-184.0623
0.019500,-154.5085
0.019600,-124.3449
0.019700,-93.6907
0.019800,-62.6666
0.019900,-31.3953
0.020000,-0.0000
